43172      '62,3778'   13.03.2018
43173      '62,1881'   14.03.2018
43174      '62,2667'   15.03.2018
43175      '62,8987'   16.03.2018
43176      '62,7163'   17.03.2018
43177      '63,0059'   18.03.2018
43178      '63,3823'   19.03.2018
43179      '63,3208'   20.03.2018
43180      '63,5101'   21.03.2018
43181      '63,5806'   22.03.2018
43182      '63,638'    23.03.2018
43183      '63,7595'   24.03.2018
43184      '63,8751'   25.03.2018
43185      '65,4926'   26.03.2018
43186      '65,7592'   27.03.2018
43187      '66,0222'   28.03.2018
43188      '64,1741'   29.03.2018
43189      '64,7795'   30.03.2018
43190      '64,8285'   31.03.2018
43191      '64,6963'   01.04.2018
43192      '63,9144'   02.04.2018
43193      '63,7645'   03.04.2018
43194      '64,4667'   04.04.2018
43195      '64,4829'   05.04.2018
43196      '64,9468'   06.04.2018
43197      '64,8383'   07.04.2018
43198      '65,0979'   08.04.2018
43199      '64,142'    09.04.2018
43200      '63,9759'   10.04.2018
43201      '63,882'    11.04.2018
43202      '63,8175'   12.04.2018
43203      '63,8785'   13.04.2018
43204      '63,2054'   14.04.2018
43205      '63,2743'   15.04.2018
43206      '62,4933'   16.04.2018
43207      '61,0442'   17.04.2018
43208      '60,6029'   18.04.2018
43209      '62,0812'   19.04.2018
43210      '61,731'    20.04.2018
43211      '62,0946'   21.04.2018
43212      '61,9306'   22.04.2018
43213      '61,4518'   23.04.2018
43214      '61,15'     24.04.2018
43215      '60,9426'   25.04.2018
43216      '61,0564'   26.04.2018
43217      '60,9777'   27.04.2018
43218      '60,6708'   28.04.2018
43219      '60,3297'   29.04.2018
43220      '60,4138'   30.04.2018
43221      '61,273'    01.05.2018
43222      '60,9133'   02.05.2018
43223      '60,4653'   03.05.2018
43224      '59,4481'   04.05.2018
43225      '59,6046'   05.05.2018
43226      '60,0788'   06.05.2018
43227      '60,1636'   07.05.2018
43228      '59,7256'   08.05.2018
43229      '59,3491'   09.05.2018
43230      '59,6869'   10.05.2018
43231      '59,8588'   11.05.2018
43232      '59,4025'   12.05.2018
43233      '59,5544'   13.05.2018
43234      '59,7304'   14.05.2018
43235      '59,7521'   15.05.2018
43236      '59,5022'   16.05.2018
43237      '59,2511'   17.05.2018
43238      '59,5145'   18.05.2018
43239      '60,4317'   19.05.2018
43240      '59,8178'   20.05.2018
43241      '59,9332'   21.05.2018
43242      '60,1589'   22.05.2018
43243      '60,128'    23.05.2018
43244      '59,4117'   24.05.2018
43245      '58,9824'   25.05.2018
43246      '58,903'    26.05.2018
43247      '59,3378'   27.05.2018
43248      '59,2323'   28.05.2018
43249      '58,96'     29.05.2018
43250      '58,2219'   30.05.2018
43251      '57,9851'   31.05.2018
43252      '57,1288'   01.06.2018
43253      '57,2565'   02.06.2018
43254      '57,5993'   03.06.2018
43255      '58,427'    04.06.2018
43256      '57,9656'   05.06.2018
43257      '57,4153'   06.06.2018
43258      '58,0668'   07.06.2018
43259      '58,4175'   08.06.2018
43260      '58,0784'   09.06.2018
43261      '58,3058'   10.06.2018
43262      '58,2831'   11.06.2018
43263      '58,8302'   12.06.2018
43264      '58,2217'   13.06.2018
43265      '58,2036'   14.06.2018
43266      '58,1777'   15.06.2018
43267      '59,2998'   16.06.2018
43268      '58,9965'   17.06.2018
43269      '58,7928'   18.06.2018
43270      '59,1627'   19.06.2018
43271      '58,396'    20.06.2018
43272      '57,7819'   21.06.2018
43273      '57,2234'   22.06.2018
43274      '57,2987'   23.06.2018
43275      '57,698'    24.06.2018
43276      '57,7887'   25.06.2018
43277      '57,4353'   26.06.2018
43278      '56,8904'   27.06.2018
43279      '56,9101'   28.06.2018
43280      '57,0335'   29.06.2018
43281      '56,6068'   30.06.2018
43282      '56,0929'   01.07.2018
43283      '56,2665'   02.07.2018
43284      '56,083'    03.07.2018
43285      '56,0787'   04.07.2018
43286      '56,379'    05.07.2018
43287      '56,3955'   06.07.2018
43288      '57,248'    07.07.2018
43289      '57,1778'   08.07.2018
43290      '56,9215'   09.07.2018
43291      '56,6023'   10.07.2018
43292      '56,2679'   11.07.2018
43293      '56,3578'   12.07.2018
43294      '55,9267'   13.07.2018
43295      '56,2408'   14.07.2018
43296      '56,5833'   15.07.2018
43297      '56,2073'   16.07.2018
43298      '56,4576'   17.07.2018
43299      '55,8438'   18.07.2018
43300      '56,1574'   19.07.2018
43301      '57,1535'   20.07.2018
